"Date","Price","Open","High","Low","Change %"
"May 08, 2015","140.325","140.960","141.225","140.070","-0.54%"
"May 07, 2015","141.090","139.210","141.510","139.020","1.23%"
"May 06, 2015","139.370","139.380","139.800","138.890","-0.10%"
"May 05, 2015","139.505","139.400","139.935","139.250","-0.03%"
"May 04, 2015","139.540","139.350","139.780","139.060","0.04%"
"May 01, 2015","139.490","138.850","139.720","138.690","0.35%"
"Apr 30, 2015","139.000","137.910","139.200","137.640","0.66%"
"Apr 29, 2015","138.090","137.200","138.510","137.160","0.55%"
"Apr 28, 2015","137.335","137.800","138.425","137.100","-0.43%"
"Apr 27, 2015","137.935","138.760","139.085","137.710","-0.68%"
"Apr 24, 2015","138.885","139.340","139.655","138.580","-0.42%"
"Apr 23, 2015","139.475","139.730","140.105","139.170","-0.29%"
"Apr 22, 2015","139.880","139.650","140.110","138.700","0.10%"
"Apr 21, 2015","139.740","139.640","140.190","139.410","-0.02%"
"Apr 20, 2015","139.770","139.590","140.040","138.920","-0.03%"
"Apr 17, 2015","139.805","139.770","140.325","139.050","-0.06%"
"Apr 16, 2015","139.885","140.780","141.425","139.400","-0.73%"
"Apr 15, 2015","140.910","140.720","141.870","140.670","0.04%"
"Apr 14, 2015","140.860","142.020","142.300","140.650","-0.91%"
"Apr 13, 2015","142.150","141.060","142.440","140.890","0.70%"
"Apr 10, 2015","141.160","141.380","141.670","140.840","-0.25%"
"Apr 09, 2015","141.515","140.880","141.555","140.500","0.35%"
"Apr 08, 2015","141.020","141.190","141.500","140.400","-0.22%"
"Apr 07, 2015","141.330","139.970","141.380","139.900","0.88%"
"Apr 06, 2015","140.100","139.930","140.580","139.650","-0.04%"
"Apr 03, 2015","140.150","140.610","141.600","139.710","-0.43%"
"Apr 02, 2015","140.760","141.540","142.090","140.380","-0.64%"
"Apr 01, 2015","141.670","142.920","143.100","141.340","-0.96%"
"Mar 31, 2015","143.050","142.670","143.570","142.460","0.17%"
"Mar 30, 2015","142.810","142.210","142.920","142.120","0.32%"
"Mar 27, 2015","142.350","142.360","142.850","142.090","-0.11%"
"Mar 26, 2015","142.505","141.960","143.055","141.750","0.29%"
