"Date","Price","Open","High","Low","Change %"
"Jul 26, 2011","1,722.59","1,716.24","1,727.21","1,714.35","0.34%"
"Jul 25, 2011","1,716.69","1,714.95","1,725.54","1,711.38","0.20%"
"Jul 22, 2011","1,713.30","1,714.33","1,718.39","1,710.38","-0.08%"
"Jul 21, 2011","1,714.63","1,702.04","1,722.62","1,699.85","0.66%"
"Jul 20, 2011","1,703.33","1,702.83","1,706.83","1,695.23","-0.10%"
"Jul 19, 2011","1,705.07","1,700.11","1,715.40","1,700.00","0.16%"
"Jul 18, 2011","1,702.39","1,705.02","1,711.97","1,697.60","-0.34%"
"Jul 15, 2011","1,708.13","1,706.48","1,711.07","1,700.74","-0.00%"
"Jul 14, 2011","1,708.20","1,703.70","1,711.22","1,700.70","0.23%"
"Jul 13, 2011","1,704.30","1,696.17","1,710.70","1,687.04","0.55%"
"Jul 12, 2011","1,695.06","1,681.85","1,701.91","1,681.21","0.72%"
"Jul 11, 2011","1,683.01","1,694.00","1,703.23","1,679.47","-0.85%"
"Jul 08, 2011","1,697.40","1,698.20","1,700.24","1,683.32","-0.12%"
"Jul 07, 2011","1,699.47","1,704.51","1,707.28","1,695.86","-0.35%"
"Jul 06, 2011","1,705.52","1,712.45","1,716.38","1,695.38","-0.47%"
"Jul 05, 2011","1,713.63","1,710.74","1,720.96","1,704.75","0.16%"
"Jul 04, 2011","1,710.88","1,709.88","1,716.62","1,706.70","-0.10%"
"Jul 01, 2011","1,712.55","1,710.77","1,717.76","1,704.85","0.02%"
"Jun 30, 2011","1,712.16","1,722.22","1,725.65","1,704.90","-0.68%"
"Jun 29, 2011","1,723.88","1,727.43","1,731.92","1,719.27","-0.30%"
"Jun 28, 2011","1,728.99","1,730.91","1,739.22","1,723.37","-0.20%"
"Jun 27, 2011","1,732.51","1,721.71","1,739.11","1,719.88","0.62%"
"Jun 24, 2011","1,721.90","1,729.19","1,731.39","1,720.42","-0.48%"
"Jun 23, 2011","1,730.26","1,724.95","1,732.84","1,715.78","0.24%"
"Jun 22, 2011","1,726.19","1,744.99","1,748.12","1,724.09","-1.17%"
"Jun 21, 2011","1,746.66","1,754.30","1,761.07","1,742.87","-0.48%"
"Jun 20, 2011","1,755.11","1,754.98","1,764.04","1,744.85","-0.21%"
"Jun 17, 2011","1,758.86","1,764.61","1,765.55","1,746.92","-0.35%"
"Jun 16, 2011","1,765.08","1,758.25","1,767.13","1,751.32","0.31%"
"Jun 15, 2011","1,759.71","1,769.29","1,775.42","1,750.89","-0.60%"
"Jun 14, 2011","1,770.28","1,778.84","1,780.99","1,767.67","-0.58%"
"Jun 13, 2011","1,780.59","1,759.77","1,780.96","1,757.60","1.13%"
"Jun 10, 2011","1,760.74","1,768.15","1,772.69","1,755.33","-0.47%"
"Jun 09, 2011","1,769.08","1,775.85","1,784.30","1,767.51","-0.47%"
"Jun 08, 2011","1,777.43","1,769.88","1,780.97","1,765.37","0.30%"
"Jun 07, 2011","1,772.05","1,765.20","1,783.03","1,762.23","0.31%"
"Jun 06, 2011","1,766.51","1,768.97","1,774.05","1,760.80","-0.21%"
"Jun 03, 2011","1,770.28","1,768.45","1,771.46","1,754.76","-0.02%"
"Jun 02, 2011","1,770.55","1,759.26","1,770.88","1,757.40","0.54%"
"Jun 01, 2011","1,761.00","1,773.09","1,777.31","1,758.94","-0.75%"
"May 31, 2011","1,774.35","1,779.41","1,786.19","1,770.40","-0.29%"
"May 30, 2011","1,779.49","1,783.47","1,787.45","1,776.38","-0.41%"
"May 27, 2011","1,786.88","1,784.76","1,787.64","1,771.77","0.05%"
"May 26, 2011","1,785.91","1,791.77","1,794.90","1,770.83","-0.38%"
"May 25, 2011","1,792.70","1,768.69","1,795.99","1,764.59","1.32%"
"May 24, 2011","1,769.34","1,769.54","1,772.40","1,756.44","-0.05%"
"May 23, 2011","1,770.28","1,756.36","1,779.18","1,754.95","0.74%"
"May 20, 2011","1,757.33","1,762.47","1,765.56","1,750.18","-0.37%"
"May 19, 2011","1,763.82","1,758.97","1,765.01","1,750.13","0.23%"
"May 18, 2011","1,759.72","1,768.27","1,772.67","1,751.47","-0.50%"
"May 17, 2011","1,768.54","1,768.12","1,774.75","1,760.72","0.02%"
"May 16, 2011","1,768.20","1,758.01","1,774.97","1,756.81","0.43%"
"May 13, 2011","1,760.64","1,772.03","1,775.01","1,754.75","-0.70%"
"May 12, 2011","1,773.12","1,759.58","1,776.91","1,759.26","0.74%"
"May 11, 2011","1,760.13","1,767.64","1,775.73","1,755.18","-0.47%"
"May 10, 2011","1,768.45","1,771.65","1,777.24","1,762.99","-0.31%"
"May 09, 2011","1,773.88","1,776.96","1,779.08","1,762.26","-0.18%"
"May 06, 2011","1,777.10","1,772.47","1,787.57","1,770.95","0.24%"
"May 05, 2011","1,772.88","1,775.25","1,788.35","1,768.68","-0.16%"
"May 04, 2011","1,775.78","1,768.41","1,782.02","1,767.26","0.35%"
"May 03, 2011","1,769.56","1,773.52","1,782.82","1,763.57","-0.30%"
"May 02, 2011","1,774.97","1,784.52","1,787.03","1,772.35","-0.55%"
"Apr 29, 2011","1,784.77","1,783.72","1,789.69","1,775.89","-0.02%"
"Apr 28, 2011","1,785.12","1,789.87","1,798.02","1,782.76","-0.36%"
"Apr 27, 2011","1,791.64","1,783.46","1,792.77","1,775.57","0.36%"
"Apr 26, 2011","1,785.16","1,784.23","1,794.98","1,780.76","-0.04%"
"Apr 25, 2011","1,785.92","1,785.59","1,790.08","1,780.11","0.06%"
"Apr 22, 2011","1,784.81","1,783.00","1,791.18","1,782.32","-0.04%"
"Apr 21, 2011","1,785.52","1,767.10","1,796.21","1,764.93","0.91%"
"Apr 20, 2011","1,769.50","1,769.50","1,774.37","1,761.21","-0.09%"
"Apr 19, 2011","1,771.18","1,769.74","1,781.40","1,767.71","0.02%"
"Apr 18, 2011","1,770.77","1,773.33","1,782.41","1,763.32","-0.29%"
"Apr 15, 2011","1,775.88","1,774.03","1,785.90","1,770.51","-0.00%"
"Apr 14, 2011","1,775.94","1,765.76","1,785.58","1,765.54","0.47%"
"Apr 13, 2011","1,767.70","1,773.97","1,782.53","1,763.34","-0.43%"
"Apr 12, 2011","1,775.26","1,776.89","1,787.36","1,771.45","-0.21%"
"Apr 11, 2011","1,779.01","1,771.99","1,786.32","1,768.17","0.30%"
"Apr 08, 2011","1,773.62","1,773.44","1,779.97","1,766.04","-0.08%"
"Apr 07, 2011","1,774.96","1,771.99","1,782.80","1,765.93","0.10%"
"Apr 06, 2011","1,773.24","1,770.13","1,779.26","1,764.81","0.07%"
"Apr 05, 2011","1,772.03","1,753.40","1,772.80","1,750.25","0.95%"
"Apr 04, 2011","1,755.34","1,750.35","1,760.24","1,742.63","0.21%"
"Apr 01, 2011","1,751.62","1,756.63","1,760.82","1,738.87","-0.36%"
"Mar 31, 2011","1,757.97","1,772.52","1,778.09","1,755.43","-0.92%"
"Mar 30, 2011","1,774.24","1,777.58","1,781.07","1,761.95","-0.31%"
"Mar 29, 2011","1,779.79","1,778.54","1,787.38","1,773.76","-0.11%"
"Mar 28, 2011","1,781.67","1,777.68","1,789.65","1,774.57","-0.02%"
"Mar 25, 2011","1,781.96","1,802.62","1,804.69","1,777.68","-1.21%"
"Mar 24, 2011","1,803.75","1,821.15","1,827.62","1,790.71","-1.02%"
"Mar 23, 2011","1,822.41","1,832.85","1,844.24","1,819.36","-0.67%"
"Mar 22, 2011","1,834.68","1,824.82","1,841.45","1,824.26","0.28%"
"Mar 21, 2011","1,829.48","1,825.14","1,833.23","1,819.97","0.11%"
"Mar 18, 2011","1,827.45","1,829.16","1,831.21","1,808.73","-0.29%"
"Mar 17, 2011","1,832.79","1,816.16","1,837.82","1,814.61","0.43%"
"Mar 16, 2011","1,824.88","1,823.20","1,828.90","1,812.27","0.01%"
"Mar 15, 2011","1,824.71","1,816.18","1,836.24","1,812.11","0.29%"
"Mar 14, 2011","1,819.52","1,806.81","1,828.62","1,800.59","0.45%"
"Mar 11, 2011","1,811.28","1,807.02","1,812.70","1,799.74","0.07%"
"Mar 10, 2011","1,810.01","1,802.65","1,823.11","1,800.06","0.22%"
"Mar 09, 2011","1,805.98","1,800.84","1,816.44","1,794.44","0.14%"
"Mar 08, 2011","1,803.54","1,808.26","1,815.51","1,800.61","-0.55%"
"Mar 07, 2011","1,813.52","1,818.28","1,829.05","1,804.97","-0.32%"
"Mar 04, 2011","1,819.30","1,812.06","1,820.64","1,809.17","0.18%"
"Mar 03, 2011","1,816.07","1,829.84","1,840.27","1,810.05","-1.00%"
"Mar 02, 2011","1,834.39","1,827.74","1,842.13","1,826.56","0.12%"
"Mar 01, 2011","1,832.10","1,828.23","1,838.36","1,821.15","0.14%"
"Feb 28, 2011","1,829.60","1,814.10","1,831.48","1,809.03","0.72%"
"Feb 25, 2011","1,816.56","1,824.40","1,827.09","1,805.67","-0.51%"
"Feb 24, 2011","1,825.84","1,827.08","1,841.17","1,820.52","-0.35%"
"Feb 23, 2011","1,832.17","1,818.32","1,837.02","1,810.99","0.51%"
"Feb 22, 2011","1,822.88","1,815.47","1,831.16","1,811.70","0.39%"
"Feb 21, 2011","1,815.81","1,804.59","1,819.33","1,802.48","0.48%"
"Feb 18, 2011","1,807.15","1,802.70","1,811.03","1,796.94","0.23%"
"Feb 17, 2011","1,802.99","1,792.76","1,808.18","1,791.25","0.25%"
"Feb 16, 2011","1,798.49","1,807.90","1,818.30","1,788.72","-0.76%"
"Feb 15, 2011","1,812.24","1,801.31","1,818.33","1,792.53","0.51%"
"Feb 14, 2011","1,803.07","1,792.03","1,809.95","1,788.75","-0.02%"
"Feb 11, 2011","1,803.37","1,797.48","1,813.26","1,793.13","0.12%"
"Feb 10, 2011","1,801.20","1,787.63","1,811.51","1,783.34","0.73%"
"Feb 09, 2011","1,788.20","1,765.54","1,790.20","1,765.10","1.07%"
"Feb 08, 2011","1,769.25","1,774.99","1,788.25","1,764.33","-0.47%"
"Feb 07, 2011","1,777.58","1,792.45","1,797.60","1,773.12","-0.91%"
