"Date","Price","Open","High","Low","Change %"
"Apr 15, 2019","169.20","169.28","169.60","168.74","-0.03%"
"Apr 12, 2019","169.25","169.95","170.22","168.82","-0.41%"
"Apr 11, 2019","169.95","169.44","170.06","169.35","0.30%"
"Apr 10, 2019","169.44","170.00","170.44","169.25","-0.34%"
"Apr 09, 2019","170.01","170.20","170.46","169.71","-0.02%"
"Apr 08, 2019","170.04","169.24","170.57","169.01","0.43%"
"Apr 05, 2019","169.32","169.24","169.57","169.03","0.09%"
"Apr 04, 2019","169.16","168.97","169.41","168.79","0.05%"
"Apr 03, 2019","169.07","169.19","169.38","168.80","-0.07%"
"Apr 02, 2019","169.18","168.84","169.40","168.66","0.15%"
"Apr 01, 2019","168.92","169.41","169.55","168.73","-0.32%"
"Mar 29, 2019","169.46","168.56","169.66","168.44","0.53%"
"Mar 28, 2019","168.56","169.35","169.52","168.49","-0.47%"
"Mar 27, 2019","169.35","169.13","169.45","168.86","0.12%"
"Mar 26, 2019","169.14","168.84","169.24","168.64","0.18%"
"Mar 25, 2019","168.84","169.06","169.38","168.69","-0.16%"
"Mar 22, 2019","169.11","168.39","169.50","168.32","0.40%"
"Mar 21, 2019","168.44","168.23","169.14","168.00","0.14%"
"Mar 20, 2019","168.21","168.53","169.00","167.85","-0.17%"
"Mar 19, 2019","168.50","168.71","168.98","168.11","-0.12%"
"Mar 18, 2019","168.71","169.06","169.43","168.43","-0.27%"
"Mar 15, 2019","169.16","169.00","169.66","168.47","0.08%"
"Mar 14, 2019","169.03","168.59","169.34","168.50","0.28%"
"Mar 13, 2019","168.56","168.19","169.10","168.04","0.21%"
"Mar 12, 2019","168.21","168.17","168.63","167.71","-0.02%"
"Mar 11, 2019","168.25","168.81","169.31","168.16","-0.26%"
"Mar 08, 2019","168.69","169.00","169.34","168.40","-0.18%"
"Mar 07, 2019","169.00","168.12","169.16","167.94","0.52%"
"Mar 06, 2019","168.12","167.85","168.60","167.81","0.17%"
"Mar 05, 2019","167.84","167.92","168.37","167.77","-0.06%"
"Mar 04, 2019","167.94","168.18","168.47","167.72","-0.12%"
"Mar 01, 2019","168.15","168.11","168.23","167.66","-0.02%"
"Feb 28, 2019","168.19","167.21","168.53","167.00","0.58%"
"Feb 27, 2019","167.22","166.57","167.81","166.47","0.43%"
"Feb 26, 2019","166.50","166.78","167.35","166.37","-0.20%"
"Feb 25, 2019","166.84","167.35","168.15","166.75","-0.25%"
"Feb 22, 2019","167.25","167.59","167.88","167.00","-0.14%"
"Feb 21, 2019","167.49","167.04","168.13","166.85","0.22%"
"Feb 20, 2019","167.12","166.16","167.40","166.00","0.58%"
"Feb 19, 2019","166.15","166.46","166.97","166.09","-0.19%"
"Feb 18, 2019","166.46","166.22","166.73","165.92","0.09%"
"Feb 15, 2019","166.31","166.42","166.95","166.23","-0.01%"
"Feb 14, 2019","166.32","166.50","166.79","166.12","-0.11%"
"Feb 13, 2019","166.50","165.51","166.59","165.41","0.59%"
"Feb 12, 2019","165.53","165.77","166.16","165.45","-0.15%"
"Feb 11, 2019","165.78","166.63","166.88","165.56","-0.56%"
"Feb 08, 2019","166.72","166.76","167.23","166.24","-0.02%"
"Feb 07, 2019","166.76","166.32","167.13","166.12","0.26%"
"Feb 06, 2019","166.32","165.70","166.41","165.64","0.40%"
"Feb 05, 2019","165.65","166.03","166.41","165.58","-0.23%"
"Feb 04, 2019","166.03","165.91","166.56","165.81","0.04%"
"Feb 01, 2019","165.97","165.94","166.59","165.63","-0.02%"
"Jan 31, 2019","166.01","165.42","166.54","165.19","0.36%"
"Jan 30, 2019","165.42","166.11","166.76","165.17","-0.38%"
"Jan 29, 2019","166.05","165.90","166.43","165.55","0.10%"
"Jan 28, 2019","165.88","165.75","166.22","165.51","0.04%"
"Jan 25, 2019","165.81","166.21","166.43","165.50","-0.28%"
"Jan 24, 2019","166.27","165.92","166.82","165.82","0.25%"
"Jan 23, 2019","165.85","166.27","166.42","165.75","-0.23%"
"Jan 22, 2019","166.24","166.68","166.76","165.93","-0.38%"
"Jan 21, 2019","166.88","166.19","166.91","165.84","0.46%"
"Jan 18, 2019","166.12","165.66","166.19","165.29","0.27%"
"Jan 17, 2019","165.68","165.86","166.35","165.27","-0.12%"
"Jan 16, 2019","165.88","166.07","166.47","165.47","-0.13%"
"Jan 15, 2019","166.09","165.75","166.38","165.41","0.21%"
"Jan 14, 2019","165.75","165.34","166.53","165.30","0.25%"
"Jan 11, 2019","165.34","164.72","165.81","164.59","0.41%"
"Jan 10, 2019","164.66","163.95","165.26","163.88","0.38%"
"Jan 09, 2019","164.04","163.92","164.53","163.71","0.12%"
"Jan 08, 2019","163.84","163.15","164.49","163.03","0.43%"
"Jan 07, 2019","163.14","162.43","163.82","162.26","0.34%"
"Jan 04, 2019","162.59","163.88","164.47","162.43","-0.76%"
"Jan 03, 2019","163.84","163.21","164.47","163.07","0.37%"
"Jan 02, 2019","163.24","161.90","163.76","161.90","0.90%"
"Jan 01, 2019","161.78","162.00","162.09","161.76","-0.14%"
"Dec 31, 2018","162.00","162.40","162.50","161.49","-0.25%"
"Dec 28, 2018","162.40","163.16","163.53","161.93","-0.45%"
"Dec 27, 2018","163.13","163.35","163.68","162.48","-0.04%"
"Dec 26, 2018","163.19","163.10","163.79","162.97","-0.13%"
"Dec 25, 2018","163.41","163.09","163.72","162.91","0.23%"
"Dec 24, 2018","163.04","163.46","163.56","162.79","-0.26%"
"Dec 21, 2018","163.47","163.07","163.62","162.34","0.25%"
"Dec 20, 2018","163.07","163.94","164.07","162.75","-0.51%"
"Dec 19, 2018","163.91","163.50","163.97","162.68","0.23%"
"Dec 18, 2018","163.53","163.78","164.28","163.37","-0.15%"
"Dec 17, 2018","163.77","163.89","164.35","163.60","-0.13%"
"Dec 14, 2018","163.98","163.58","164.60","163.44","0.26%"
"Dec 13, 2018","163.56","163.48","163.97","163.22","0.04%"
"Dec 12, 2018","163.49","163.68","164.19","163.29","-0.13%"
"Dec 11, 2018","163.70","163.26","164.19","163.26","0.28%"
"Dec 10, 2018","163.25","163.64","163.90","163.02","-0.21%"
"Dec 07, 2018","163.60","162.57","163.84","162.34","0.65%"
"Dec 06, 2018","162.54","162.47","163.29","162.20","0.02%"
"Dec 05, 2018","162.50","162.54","162.93","162.07","-0.04%"
"Dec 04, 2018","162.56","161.19","162.75","161.06","0.84%"
"Dec 03, 2018","161.20","160.96","161.68","160.23","0.14%"
"Nov 30, 2018","160.97","161.06","161.90","160.60","0.00%"
"Nov 29, 2018","160.97","161.57","161.99","160.84","-0.37%"
"Nov 28, 2018","161.56","162.59","162.91","161.40","-0.65%"
"Nov 27, 2018","162.62","162.79","163.09","162.34","-0.10%"
"Nov 26, 2018","162.78","163.14","163.28","162.32","-0.21%"
"Nov 23, 2018","163.13","163.77","163.97","162.73","-0.40%"
"Nov 22, 2018","163.79","162.84","163.79","162.72","0.58%"
"Nov 21, 2018","162.85","162.78","163.49","162.66","0.07%"
"Nov 20, 2018","162.74","162.18","162.90","162.13","0.36%"
"Nov 19, 2018","162.16","161.62","162.97","161.60","0.33%"
"Nov 16, 2018","161.63","162.54","163.13","161.35","-0.56%"
"Nov 15, 2018","162.54","162.99","163.41","162.12","-0.26%"
"Nov 14, 2018","162.97","162.76","163.71","162.34","0.19%"
"Nov 13, 2018","162.66","163.49","163.81","162.41","-0.59%"
"Nov 12, 2018","163.62","162.53","163.85","162.47","0.67%"
"Nov 09, 2018","162.53","161.73","162.82","161.54","0.48%"
"Nov 08, 2018","161.75","161.34","161.97","160.84","0.25%"
"Nov 07, 2018","161.34","162.15","162.56","161.28","-0.49%"
"Nov 06, 2018","162.14","161.83","162.87","161.83","0.20%"
"Nov 05, 2018","161.82","162.16","162.90","161.58","-0.27%"
"Nov 02, 2018","162.26","162.50","163.21","161.57","-0.09%"
"Nov 01, 2018","162.40","163.62","163.75","162.06","-0.81%"
"Oct 31, 2018","163.72","163.59","163.94","163.28","0.09%"
"Oct 30, 2018","163.57","164.28","164.47","163.21","-0.43%"
"Oct 29, 2018","164.28","164.34","164.50","163.50","0.04%"
"Oct 26, 2018","164.22","163.66","164.94","163.41","0.33%"
"Oct 25, 2018","163.68","164.13","164.40","163.25","-0.29%"
"Oct 24, 2018","164.15","163.72","164.26","162.85","0.28%"
"Oct 23, 2018","163.69","163.07","164.38","162.87","0.35%"
"Oct 22, 2018","163.12","163.36","164.07","162.73","-0.16%"
"Oct 19, 2018","163.38","164.22","164.44","162.96","-0.45%"
"Oct 18, 2018","164.12","162.90","164.35","162.78","0.74%"
"Oct 17, 2018","162.91","162.57","163.12","162.40","0.25%"
"Oct 16, 2018","162.50","163.47","164.12","162.12","-0.70%"
"Oct 15, 2018","163.64","163.44","164.22","162.94","0.13%"
"Oct 12, 2018","163.43","164.87","165.22","163.24","-0.84%"
"Oct 11, 2018","164.81","165.12","165.54","164.20","-0.19%"
"Oct 10, 2018","165.12","163.56","165.29","163.26","0.97%"
"Oct 09, 2018","163.54","163.69","164.49","163.46","-0.10%"
"Oct 08, 2018","163.71","164.80","165.02","163.63","-0.67%"
"Oct 05, 2018","164.82","165.03","165.14","164.19","-0.13%"
"Oct 04, 2018","165.03","163.85","165.18","163.78","0.72%"
"Oct 03, 2018","163.85","162.97","164.00","162.66","0.62%"
"Oct 02, 2018","162.84","162.03","163.32","161.88","0.43%"
"Oct 01, 2018","162.15","161.59","162.28","161.47","0.33%"
"Sep 28, 2018","161.62","161.65","161.75","160.81","-0.06%"
"Sep 27, 2018","161.72","162.31","162.47","161.20","-0.28%"
"Sep 26, 2018","162.18","162.66","162.78","161.58","-0.39%"
"Sep 25, 2018","162.81","163.41","163.50","162.62","-0.33%"
"Sep 24, 2018","163.35","162.65","163.62","162.54","0.47%"
"Sep 21, 2018","162.59","163.16","163.56","162.38","-0.35%"
"Sep 20, 2018","163.16","163.38","164.07","163.15","-0.14%"
"Sep 19, 2018","163.39","163.63","164.31","163.32","-0.15%"
"Sep 18, 2018","163.64","164.24","164.94","163.54","-0.38%"
"Sep 17, 2018","164.26","163.38","164.58","163.25","0.59%"
"Sep 14, 2018","163.29","163.69","163.94","162.84","-0.21%"
"Sep 13, 2018","163.63","163.18","164.25","162.99","0.21%"
"Sep 12, 2018","163.28","163.56","164.59","162.82","-0.15%"
"Sep 11, 2018","163.53","164.81","166.03","163.50","-0.78%"
"Sep 10, 2018","164.81","164.90","165.15","164.31","-0.06%"
"Sep 07, 2018","164.91","164.22","165.00","163.88","0.46%"
"Sep 06, 2018","164.16","163.82","164.59","163.47","0.12%"
"Sep 05, 2018","163.96","163.50","164.81","163.16","0.34%"
"Sep 04, 2018","163.40","162.97","164.00","162.94","0.25%"
"Sep 03, 2018","163.00","163.34","163.79","162.38","-0.20%"
"Aug 31, 2018","163.33","162.84","163.73","162.56","0.28%"
"Aug 30, 2018","162.88","162.91","163.10","162.22","0.04%"
"Aug 29, 2018","162.82","162.94","163.39","162.48","-0.06%"
"Aug 28, 2018","162.91","162.69","163.18","162.34","0.12%"
"Aug 27, 2018","162.72","163.70","164.05","162.51","-0.62%"
"Aug 24, 2018","163.73","163.42","164.05","162.28","0.13%"
"Aug 23, 2018","163.51","163.41","163.94","163.09","0.08%"
"Aug 22, 2018","163.38","163.15","163.90","162.97","0.19%"
"Aug 21, 2018","163.07","162.93","163.84","162.75","0.01%"
"Aug 20, 2018","163.05","162.75","164.06","162.70","0.15%"
"Aug 17, 2018","162.81","163.79","163.94","162.50","-0.59%"
"Aug 16, 2018","163.78","163.56","164.19","163.22","0.16%"
"Aug 15, 2018","163.52","163.85","164.56","163.46","-0.22%"
"Aug 14, 2018","163.88","164.96","165.09","163.76","-0.67%"
"Aug 13, 2018","164.99","165.07","165.75","164.32","-0.04%"
