"Date","Price","Open","High","Low","Change %"
"Sep 26, 2011","1,163.50","1,138.81","1,166.88","1,136.94","2.08%"
"Sep 23, 2011","1,139.80","1,151.03","1,173.14","1,125.76","-0.87%"
"Sep 22, 2011","1,149.77","1,155.44","1,185.79","1,143.01","-0.55%"
"Sep 21, 2011","1,156.12","1,173.63","1,185.35","1,152.68","-1.64%"
"Sep 20, 2011","1,175.35","1,162.81","1,179.78","1,155.86","0.98%"
"Sep 19, 2011","1,163.89","1,144.88","1,169.76","1,142.69","0.96%"
"Sep 16, 2011","1,152.83","1,150.32","1,157.16","1,137.01","0.14%"
"Sep 15, 2011","1,151.26","1,135.64","1,152.60","1,127.29","1.26%"
"Sep 14, 2011","1,136.99","1,110.24","1,139.98","1,108.51","2.30%"
"Sep 13, 2011","1,111.45","1,115.08","1,117.91","1,104.53","-0.35%"
"Sep 12, 2011","1,115.38","1,121.16","1,125.12","1,103.88","-1.18%"
"Sep 09, 2011","1,128.68","1,137.66","1,146.45","1,122.23","-0.81%"
"Sep 08, 2011","1,137.87","1,138.97","1,146.69","1,132.80","-0.19%"
"Sep 07, 2011","1,140.09","1,126.57","1,141.14","1,125.60","1.05%"
"Sep 06, 2011","1,128.22","1,127.15","1,142.03","1,122.75","0.02%"
"Sep 05, 2011","1,128.05","1,129.75","1,133.62","1,124.20","-0.56%"
"Sep 02, 2011","1,134.44","1,140.82","1,142.63","1,129.06","-0.67%"
"Sep 01, 2011","1,142.10","1,137.53","1,143.68","1,132.52","0.17%"
"Aug 31, 2011","1,140.19","1,141.96","1,146.07","1,135.18","-0.31%"
"Aug 30, 2011","1,143.72","1,144.67","1,149.34","1,139.68","-0.11%"
"Aug 29, 2011","1,144.93","1,141.46","1,145.37","1,136.70","0.27%"
"Aug 26, 2011","1,141.88","1,135.28","1,146.26","1,131.14","0.44%"
"Aug 25, 2011","1,136.89","1,133.58","1,140.91","1,129.14","0.16%"
"Aug 24, 2011","1,135.02","1,133.64","1,137.86","1,128.25","0.03%"
"Aug 23, 2011","1,134.65","1,126.16","1,135.73","1,123.46","0.76%"
"Aug 22, 2011","1,126.08","1,128.73","1,132.67","1,122.69","-0.44%"
"Aug 19, 2011","1,131.06","1,123.20","1,140.08","1,116.69","0.51%"
"Aug 18, 2011","1,125.33","1,126.04","1,129.99","1,114.22","-0.13%"
"Aug 17, 2011","1,126.84","1,120.87","1,133.46","1,120.01","0.43%"
"Aug 16, 2011","1,121.97","1,121.99","1,126.98","1,115.15","-0.07%"
"Aug 15, 2011","1,122.72","1,118.39","1,132.49","1,117.42","0.48%"
"Aug 12, 2011","1,117.41","1,114.97","1,118.17","1,105.01","0.10%"
"Aug 11, 2011","1,116.25","1,100.82","1,117.33","1,095.95","1.16%"
"Aug 10, 2011","1,103.43","1,127.97","1,129.39","1,097.92","-1.98%"
"Aug 09, 2011","1,125.76","1,106.09","1,127.06","1,087.07","1.58%"
"Aug 08, 2011","1,108.28","1,113.20","1,126.34","1,104.25","-0.57%"
"Aug 05, 2011","1,114.63","1,110.44","1,123.80","1,106.08","0.32%"
"Aug 04, 2011","1,111.07","1,138.45","1,140.14","1,109.37","-2.45%"
"Aug 03, 2011","1,138.99","1,133.65","1,144.61","1,128.91","0.35%"
"Aug 02, 2011","1,135.04","1,151.50","1,158.00","1,133.54","-1.49%"
"Aug 01, 2011","1,152.16","1,159.29","1,162.80","1,144.15","-0.61%"
"Jul 29, 2011","1,159.20","1,158.61","1,162.15","1,149.49","-0.03%"
"Jul 28, 2011","1,159.53","1,161.10","1,165.36","1,155.13","-0.24%"
"Jul 27, 2011","1,162.30","1,148.54","1,164.48","1,147.49","1.15%"
"Jul 26, 2011","1,149.04","1,143.39","1,153.35","1,141.19","0.47%"
"Jul 25, 2011","1,143.72","1,139.10","1,147.79","1,135.43","0.35%"
"Jul 22, 2011","1,139.78","1,138.48","1,144.93","1,137.22","0.03%"
"Jul 21, 2011","1,139.45","1,132.10","1,145.74","1,127.26","0.55%"
"Jul 20, 2011","1,133.22","1,132.51","1,136.20","1,129.40","-0.09%"
"Jul 19, 2011","1,134.27","1,123.65","1,136.60","1,123.02","0.82%"
"Jul 18, 2011","1,125.09","1,125.08","1,129.16","1,120.20","-0.17%"
"Jul 15, 2011","1,126.99","1,133.43","1,137.14","1,123.38","-0.65%"
"Jul 14, 2011","1,134.34","1,134.99","1,142.28","1,129.72","-0.32%"
"Jul 13, 2011","1,137.96","1,127.52","1,144.29","1,125.07","0.79%"
"Jul 12, 2011","1,129.01","1,126.66","1,136.66","1,121.96","0.16%"
"Jul 11, 2011","1,127.24","1,132.89","1,137.14","1,123.91","-0.84%"
"Jul 08, 2011","1,136.80","1,145.39","1,146.24","1,130.56","-0.87%"
"Jul 07, 2011","1,146.72","1,139.39","1,147.26","1,137.31","0.57%"
"Jul 06, 2011","1,140.19","1,138.86","1,142.50","1,132.31","-0.04%"
"Jul 05, 2011","1,140.62","1,141.98","1,144.09","1,136.46","-0.10%"
"Jul 04, 2011","1,141.72","1,147.27","1,148.17","1,138.90","-0.56%"
"Jul 01, 2011","1,148.13","1,142.54","1,150.37","1,137.30","0.35%"
"Jun 30, 2011","1,144.09","1,144.14","1,150.41","1,140.83","-0.13%"
"Jun 29, 2011","1,145.59","1,137.72","1,150.61","1,134.21","0.59%"
"Jun 28, 2011","1,138.84","1,131.09","1,141.73","1,129.24","0.60%"
"Jun 27, 2011","1,132.09","1,129.94","1,136.98","1,127.30","-0.05%"
"Jun 24, 2011","1,132.63","1,136.60","1,144.17","1,130.59","-0.46%"
"Jun 23, 2011","1,137.82","1,134.37","1,138.58","1,125.15","0.17%"
"Jun 22, 2011","1,135.86","1,138.86","1,144.45","1,133.83","-0.37%"
"Jun 21, 2011","1,140.13","1,145.28","1,150.36","1,136.45","-0.52%"
"Jun 20, 2011","1,146.08","1,150.73","1,153.69","1,139.22","-0.74%"
"Jun 17, 2011","1,154.58","1,152.15","1,155.45","1,140.36","0.18%"
"Jun 16, 2011","1,152.51","1,147.38","1,153.82","1,140.93","0.39%"
"Jun 15, 2011","1,148.07","1,153.70","1,161.12","1,140.51","-0.56%"
"Jun 14, 2011","1,154.51","1,152.62","1,160.70","1,146.30","0.17%"
"Jun 13, 2011","1,152.55","1,141.24","1,155.34","1,140.15","0.87%"
"Jun 10, 2011","1,142.58","1,147.77","1,152.80","1,140.80","-0.55%"
"Jun 09, 2011","1,148.88","1,150.68","1,155.79","1,143.65","-0.20%"
"Jun 08, 2011","1,151.16","1,153.79","1,156.88","1,143.07","-0.26%"
"Jun 07, 2011","1,154.16","1,157.23","1,162.32","1,151.32","-0.28%"
"Jun 06, 2011","1,157.38","1,155.84","1,161.16","1,153.66","0.23%"
"Jun 03, 2011","1,154.70","1,152.89","1,160.95","1,143.98","0.06%"
"Jun 02, 2011","1,153.97","1,142.96","1,155.38","1,142.63","0.95%"
"Jun 01, 2011","1,143.16","1,148.72","1,157.34","1,141.99","-0.66%"
"May 31, 2011","1,150.76","1,154.09","1,159.26","1,147.63","-0.31%"
"May 30, 2011","1,154.36","1,159.25","1,159.95","1,152.04","-0.34%"
"May 27, 2011","1,158.33","1,158.04","1,160.50","1,148.84","-0.04%"
"May 26, 2011","1,158.74","1,158.80","1,160.92","1,148.42","-0.08%"
"May 25, 2011","1,159.61","1,153.54","1,162.88","1,148.59","0.44%"
"May 24, 2011","1,154.58","1,153.35","1,157.41","1,149.36","0.10%"
"May 23, 2011","1,153.45","1,152.75","1,160.15","1,149.29","-0.06%"
"May 20, 2011","1,154.16","1,158.65","1,160.00","1,148.20","-0.49%"
"May 19, 2011","1,159.84","1,156.98","1,160.27","1,150.29","0.28%"
"May 18, 2011","1,156.64","1,155.23","1,158.50","1,149.16","0.06%"
"May 17, 2011","1,155.93","1,154.80","1,157.20","1,142.93","0.17%"
"May 16, 2011","1,153.92","1,148.53","1,162.11","1,145.27","0.40%"
