"Date","Price","Open","High","Low","Change %"
"Jun 24, 2019","10.7616","10.7945","10.8219","10.7521","-0.37%"
"Jun 21, 2019","10.8018","10.8058","10.8749","10.7523","-0.03%"
"Jun 20, 2019","10.8049","10.8449","10.9013","10.7442","-0.38%"
"Jun 19, 2019","10.8458","10.8329","10.8789","10.8153","0.12%"
"Jun 18, 2019","10.8328","10.9314","10.9838","10.8126","-0.89%"
"Jun 17, 2019","10.9304","10.9467","10.9467","10.9041","-0.02%"
"Jun 14, 2019","10.9324","10.9094","10.9643","10.8991","0.13%"
"Jun 13, 2019","10.9177","10.9162","10.9822","10.8954","0.09%"
"Jun 12, 2019","10.9076","10.8582","10.9267","10.8506","0.38%"
"Jun 11, 2019","10.8663","10.9186","10.9496","10.8416","-0.48%"
"Jun 10, 2019","10.9182","10.8893","10.9460","10.8782","-0.06%"
"Jun 07, 2019","10.9253","10.8719","10.9639","10.8577","0.49%"
"Jun 06, 2019","10.8719","10.8869","10.9385","10.8575","-0.14%"
"Jun 05, 2019","10.8869","10.8979","10.9433","10.8348","-0.08%"
"Jun 04, 2019","10.8952","10.9148","10.9795","10.8867","-0.18%"
"Jun 03, 2019","10.9150","10.9674","11.0107","10.8939","-0.59%"
"May 31, 2019","10.9794","10.8538","10.9861","10.8483","1.16%"
"May 30, 2019","10.8537","10.8959","10.9032","10.8196","-0.38%"
"May 29, 2019","10.8949","10.8694","10.9648","10.8568","0.23%"
"May 28, 2019","10.8703","10.8173","10.8968","10.8019","0.50%"
"May 27, 2019","10.8163","10.8493","10.8589","10.8031","-0.29%"
"May 24, 2019","10.8483","10.8544","10.8820","10.8079","-0.06%"
"May 23, 2019","10.8549","10.7965","10.8814","10.7751","0.60%"
"May 22, 2019","10.7904","10.7896","10.8385","10.7500","-0.03%"
"May 21, 2019","10.7939","10.8592","10.8743","10.7722","-0.56%"
"May 20, 2019","10.8547","10.8455","10.8819","10.7988","0.01%"
"May 17, 2019","10.8533","10.8532","10.9202","10.8172","-0.00%"
"May 16, 2019","10.8537","10.8289","10.9078","10.8117","0.23%"
"May 15, 2019","10.8289","10.8373","10.9197","10.8237","-0.08%"
"May 14, 2019","10.8373","10.8768","10.9063","10.8086","-0.35%"
"May 13, 2019","10.8758","10.7057","10.9207","10.6959","1.75%"
"May 10, 2019","10.6890","10.7511","10.7900","10.6714","-0.56%"
"May 09, 2019","10.7491","10.6554","10.8322","10.6408","0.89%"
"May 08, 2019","10.6544","10.6401","10.6731","10.6090","0.20%"
"May 07, 2019","10.6331","10.5464","10.6493","10.5244","0.75%"
"May 06, 2019","10.5542","10.5300","10.6479","10.5063","0.71%"
"May 03, 2019","10.4795","10.4633","10.5236","10.4590","0.13%"
"May 02, 2019","10.4655","10.4649","10.4884","10.4109","-0.00%"
"May 01, 2019","10.4658","10.4488","10.4726","10.4213","0.17%"
"Apr 30, 2019","10.4478","10.3871","10.5023","10.3785","0.57%"
"Apr 29, 2019","10.3890","10.3858","10.3994","10.3683","0.04%"
"Apr 26, 2019","10.3849","10.3910","10.4240","10.3557","-0.06%"
"Apr 25, 2019","10.3911","10.3050","10.4259","10.3050","0.84%"
"Apr 24, 2019","10.3049","10.2195","10.3643","10.2131","0.84%"
"Apr 23, 2019","10.2187","10.1924","10.2376","10.1890","0.25%"
"Apr 22, 2019","10.1933","10.1558","10.2208","10.1442","0.37%"
"Apr 19, 2019","10.1553","10.1591","10.1735","10.1489","0.00%"
"Apr 18, 2019","10.1550","10.1003","10.1745","10.0962","0.51%"
"Apr 17, 2019","10.1038","10.1575","10.1707","10.0956","-0.53%"
"Apr 16, 2019","10.1575","10.1326","10.1696","10.1277","0.25%"
"Apr 15, 2019","10.1317","10.1308","10.1532","10.1058","0.03%"
"Apr 12, 2019","10.1291","10.2256","10.2427","10.1138","-0.95%"
"Apr 11, 2019","10.2266","10.2506","10.2828","10.2238","-0.23%"
"Apr 10, 2019","10.2506","10.2675","10.2988","10.2207","-0.16%"
"Apr 09, 2019","10.2666","10.2533","10.2845","10.2330","0.22%"
"Apr 08, 2019","10.2445","10.1770","10.2862","10.1658","0.61%"
"Apr 05, 2019","10.1820","10.1798","10.1986","10.1574","0.06%"
"Apr 04, 2019","10.1762","10.1732","10.2182","10.1670","-0.01%"
